Time - Measured Velocity,Spool Rev/Sec - Measured Velocity,Time - Measured Diameter,Diameter (mm) - Measured Diameter,Time - Target Velocity,Spool Rev/Sec - Target Velocity,Time - Predicted Diameter,Diameter (mm) - Predicted Diameter,Time - Temperature,Diameter (mm) - Temperature,Time - Stage Direction,Spool Rev/Sec - Stage Direction
6174,1.03333,6174,0.341259,6174,1,6174,0.317624,6174,94.928,6174,1
6175,1.03333,6175,0.3686,6175,1,6175,0.317624,6175,94.928,6175,1
6176,1.06667,6176,0.3686,6176,1,6176,0.317624,6176,94.928,6176,1
6177,1.03333,6177,0.3686,6177,1,6177,0.317624,6177,94.928,6177,1
6178,1,6178,0.38227,6178,1,6178,0.317624,6178,94.928,6178,1
6179,1.03333,6179,0.395941,6179,1,6179,0.317624,6179,94.928,6179,1
6180,1,6180,0.395941,6180,1,6180,0.317624,6180,94.928,6180,1
6181,1.03333,6181,0.395941,6181,1,6181,0.317624,6181,94.928,6181,1
6182,1.03333,6182,0.395941,6182,1,6182,0.317624,6182,94.928,6182,1
6183,1.06667,6183,0.395941,6183,1,6183,0.317624,6183,94.928,6183,1
6184,1.06667,6184,0.395941,6184,1,6184,0.317624,6184,94.928,6184,1
6185,1.03333,6185,0.38227,6185,1,6185,0.317624,6185,95.3671,6185,1
6186,1,6186,0.341259,6186,1,6186,0.317624,6186,95.3671,6186,0
6187,1.03333,6187,0.313918,6187,1,6187,0.317624,6187,95.3671,6187,0
6188,1,6188,0.300248,6188,1,6188,0.317624,6188,95.3671,6188,0
6189,1,6189,0.300248,6189,1,6189,0.317624,6189,95.3671,6189,0
6190,0.966667,6190,0.300248,6190,1,6190,0.317624,6190,95.3671,6190,0
6191,0.966667,6191,0.286577,6191,1,6191,0.317624,6191,95.3671,6191,0
6192,1,6192,0.272907,6192,1,6192,0.317624,6192,95.3671,6192,0
6193,1,6193,0.272907,6193,1,6193,0.317624,6193,94.928,6193,0
6194,1.03333,6194,0.272907,6194,1,6194,0.317624,6194,94.928,6194,0
6195,0.966667,6195,0.272907,6195,1,6195,0.317624,6195,94.928,6195,0
6196,1,6196,0.286577,6196,1,6196,0.317624,6196,94.928,6196,0
6197,1,6197,0.286577,6197,1,6197,0.317624,6197,94.928,6197,0
6198,0.966667,6198,0.286577,6198,1,6198,0.317624,6198,94.928,6198,0
6199,0.966667,6199,0.300248,6199,1,6199,0.317624,6199,94.928,6199,0
6200,1,6200,0.300248,6200,1,6200,0.317624,6200,94.928,6200,0
6201,1.03333,6201,0.313918,6201,1,6201,0.317624,6201,94.928,6201,0
6202,1.06667,6202,0.327588,6202,1,6202,0.317624,6202,94.928,6202,0
6203,1.06667,6203,0.354929,6203,1,6203,0.317624,6203,94.928,6203,0
6204,1.03333,6204,0.354929,6204,1,6204,0.317624,6204,94.928,6204,0
6205,1.03333,6205,0.38227,6205,1,6205,0.317624,6205,94.928,6205,0
6206,1.03333,6206,0.38227,6206,1,6206,0.317624,6206,94.928,6206,0
6207,1,6207,0.38227,6207,1,6207,0.317624,6207,94.4892,6207,0
6208,0.966667,6208,0.38227,6208,1,6208,0.317624,6208,94.4892,6208,0
6209,1,6209,0.38227,6209,1,6209,0.317624,6209,94.4892,6209,0
6210,1,6210,0.38227,6210,1,6210,0.317624,6210,94.4892,6210,0
6211,1,6211,0.38227,6211,1,6211,0.317624,6211,94.4892,6211,0
6212,1,6212,0.3686,6212,1,6212,0.317624,6212,94.4892,6212,0
6213,1.03333,6213,0.341259,6213,1,6213,0.317624,6213,94.928,6213,0
6214,0.966667,6214,0.313918,6214,1,6214,0.317624,6214,94.4892,6214,0
6215,0.966667,6215,0.313918,6215,1,6215,0.317624,6215,94.4892,6215,0
6216,0.933333,6216,0.313918,6216,1,6216,0.317624,6216,94.4892,6216,0
6217,0.933333,6217,0.313918,6217,1,6217,0.317624,6217,94.928,6217,0
6218,0.966667,6218,0.313918,6218,1,6218,0.317624,6218,94.928,6218,0
6219,1,6219,0.313918,6219,1,6219,0.317624,6219,94.928,6219,0
6220,1,6220,0.313918,6220,1,6220,0.317624,6220,94.4892,6220,0
6221,1,6221,0.313918,6221,1,6221,0.317624,6221,94.4892,6221,0
6222,1.03333,6222,0.327588,6222,1,6222,0.317624,6222,94.4892,6222,0
6223,1.06667,6223,0.341259,6223,1,6223,0.317624,6223,94.4892,6223,0
6224,1.03333,6224,0.354929,6224,1,6224,0.317624,6224,94.4892,6224,0
6225,1,6225,0.354929,6225,1,6225,0.317624,6225,94.4892,6225,0
6226,0.966667,6226,0.354929,6226,1,6226,0.317624,6226,94.4892,6226,0
6227,0.966667,6227,0.354929,6227,1,6227,0.317624,6227,94.928,6227,0
6228,0.933333,6228,0.354929,6228,1,6228,0.317624,6228,94.928,6228,0
6229,1,6229,0.354929,6229,1,6229,0.317624,6229,94.928,6229,0
6230,1.03333,6230,0.354929,6230,1,6230,0.317624,6230,94.928,6230,0
6231,1.03333,6231,0.354929,6231,1,6231,0.317624,6231,94.928,6231,0
6232,1.03333,6232,0.354929,6232,1,6232,0.317624,6232,94.928,6232,0
6233,1.03333,6233,0.354929,6233,1,6233,0.317624,6233,94.928,6233,0
6234,1,6234,0.354929,6234,1,6234,0.317624,6234,94.928,6234,0
6235,0.933333,6235,0.354929,6235,1,6235,0.317624,6235,94.928,6235,0
6236,0.933333,6236,0.3686,6236,1,6236,0.317624,6236,94.928,6236,0
6237,0.966667,6237,0.3686,6237,1,6237,0.317624,6237,94.928,6237,0
6238,1,6238,0.3686,6238,1,6238,0.317624,6238,94.928,6238,0
6239,1.03333,6239,0.3686,6239,1,6239,0.317624,6239,94.928,6239,0
6240,1.06667,6240,0.3686,6240,1,6240,0.317624,6240,94.928,6240,0
6241,1.03333,6241,0.354929,6241,1,6241,0.317624,6241,94.928,6241,0
6242,1.03333,6242,0.38227,6242,1,6242,0.317624,6242,94.928,6242,0
6243,1.03333,6243,0.38227,6243,1,6243,0.317624,6243,94.928,6243,0
6244,0.966667,6244,0.3686,6244,1,6244,0.317624,6244,94.928,6244,0
6245,0.933333,6245,0.3686,6245,1,6245,0.317624,6245,94.928,6245,0
6246,0.9,6246,0.3686,6246,1,6246,0.317624,6246,94.928,6246,0
6247,0.9,6247,0.3686,6247,1,6247,0.317624,6247,94.928,6247,0
6248,0.9,6248,0.3686,6248,1,6248,0.317624,6248,94.928,6248,0
6249,1,6249,0.3686,6249,1,6249,0.317624,6249,94.928,6249,0
6250,1.03333,6250,0.3686,6250,1,6250,0.317624,6250,94.928,6250,0
6251,1.06667,6251,0.38227,6251,1,6251,0.317624,6251,94.928,6251,0
6252,1.06667,6252,0.38227,6252,1,6252,0.317624,6252,94.928,6252,0
6253,1.03333,6253,0.3686,6253,1,6253,0.317624,6253,94.928,6253,0
